keypoints/0,keypoints/1,keypoints/3,keypoints/4,keypoints/6,keypoints/7,keypoints/9,keypoints/10,keypoints/12,keypoints/13,keypoints/15,keypoints/16,keypoints/18,keypoints/19,keypoints/21,keypoints/22,keypoints/24,keypoints/25,keypoints/27,keypoints/28,keypoints/30,keypoints/31,keypoints/33,keypoints/34,keypoints/36,keypoints/37,keypoints/39,keypoints/40,keypoints/42,keypoints/43,keypoints/45,keypoints/46,keypoints/48,keypoints/49,predict
502.1531372,334.7007446,508.1637878,328.6901245,508.1637878,322.6794739,526.1956787,322.6794739,538.21698,298.6369324,502.1531372,280.605011,508.1637878,262.5730896,430.0254822,316.6688538,436.0361328,316.6688538,484.1212158,334.7007446,484.1212158,340.7113953,351.8871765,280.605011,345.8765564,238.5305481,261.7276306,334.7007446,261.7276306,304.6475525,147.5254974,334.7007446,147.5254974,316.6688538,2
508.171936,334.90802,514.1813965,328.8985901,514.1813965,328.8985901,526.2002563,322.8891296,532.2097168,304.8608093,502.1625061,280.8230591,502.1625061,268.8041687,430.0492249,316.8796997,436.0586548,316.8796997,484.1341858,334.90802,484.1341858,334.90802,351.9264832,280.8230591,345.9170532,238.7569733,261.7848816,334.90802,261.7848816,310.8702698,153.614975,316.8796997,147.6055298,316.8796997,2
508.5457764,335.3369446,514.5594482,335.3369446,514.5594482,329.3232422,526.586792,323.3095703,532.6004639,305.2685547,502.532074,281.2138367,502.532074,269.1864624,430.3679504,317.2958984,436.3816223,317.2958984,484.4910583,335.3369446,490.5047302,335.3369446,346.1764221,281.2138367,346.1764221,239.1180725,261.9849243,335.3369446,261.9849243,305.2685547,147.7250366,317.2958984,147.7250366,317.2958984,2
497.5293274,324.2759705,497.5293274,330.3008423,503.5541687,318.2511292,533.6784668,306.201416,533.6784668,300.1765747,503.5541687,282.1019897,503.5541687,264.0274353,431.2559204,312.2262878,437.2807617,312.2262878,485.4796143,318.2511292,485.4796143,336.3256836,346.907959,282.1019897,346.907959,239.9280243,262.5599976,336.3256836,256.5351257,300.1765747,148.087738,318.2511292,142.0628967,318.2511292,2
492.7297974,318.3110962,492.7297974,324.3494568,498.768158,312.2727356,504.8065186,336.426178,541.0366821,288.1192627,492.7297974,300.1960144,504.8065186,257.9274597,432.3461609,312.2727356,438.3845215,312.2727356,486.6914368,324.3494568,486.6914368,336.426178,347.809082,282.0809021,341.7707214,239.8123779,263.2719727,336.426178,257.2336121,300.1960144,148.5430908,318.3110962,142.5047302,318.3110962,2
498.8425598,312.1685791,498.8425598,318.2084351,504.8823853,312.1685791,510.9222412,336.3279724,541.12146,288.0091858,486.7628479,294.0490417,504.8823853,257.809967,432.4042358,312.1685791,438.4440918,312.1685791,486.7628479,324.2482605,486.7628479,336.3279724,347.846405,281.9693298,341.8065491,239.6904144,263.2885437,336.3279724,251.208847,300.0888977,142.4916077,324.2482605,142.4916077,318.2084351,2
505.2607117,317.447113,511.307312,323.4937439,511.307312,317.447113,523.4005127,335.5869446,541.5404053,293.2606812,487.1208801,299.3072815,505.2607117,263.0276184,426.6547546,311.4005127,438.7479858,317.447113,505.2607117,329.5403442,493.1674805,335.5869446,348.0487976,281.16745,342.0021973,238.8411713,263.3962402,335.5869446,257.3496094,299.3072815,148.5106049,323.4937439,142.4640045,317.447113,2
505.1787109,334.8677673,511.222229,328.8242188,511.222229,322.7806702,523.3093262,334.8677673,541.4399414,292.5629578,499.1351624,292.5629578,505.1787109,262.3452759,426.6126709,316.7371216,438.6997375,316.7371216,505.1787109,328.8242188,493.0916138,334.8677673,348.0466309,286.5194397,348.0466309,244.2146454,263.4370728,334.8677673,257.3935242,298.6065063,148.609787,316.7371216,142.5662384,316.7371216,2
516.8468018,310.9243774,516.8468018,322.9993896,522.8842773,316.9618835,522.8842773,329.0368652,540.9967651,286.7744141,504.7717896,280.736908,504.7717896,262.6244202,426.2843628,316.9618835,438.3593445,316.9618835,504.7717896,329.0368652,492.6968079,335.0743713,347.7969055,280.736908,347.7969055,244.5119324,263.2719727,335.0743713,257.2344666,298.8493958,148.5595398,322.9993896,148.5595398,316.9618835,2
516.9177246,310.8016968,516.9177246,322.8862915,522.960022,316.8439941,522.960022,334.9708862,541.0869141,292.6747742,498.790802,292.6747742,504.8331299,262.4632568,432.3255005,316.8439941,438.3677979,316.8439941,504.8331299,328.9285889,492.7485046,334.9708862,347.7332458,286.6324768,347.7332458,238.2940521,263.1410217,334.9708862,257.0987244,298.7170715,154.3795776,316.8439941,148.3372803,316.8439941,2
